tconst,year,budget
tt0298228,2002,3500000
tt0298388,2002,14000000
tt0298814,2003,60000000
tt0299172,2004,110000000
tt0299658,2002,45000000
tt0299930,2003,54000000
tt0299977,2002,31000000
tt0300015,2003,8000000
tt0300051,2004,35000000
tt0300471,2003,50000000
tt0300532,2002,25000000
tt0300556,2003,80000000
tt0301470,2003,17000000
tt0302886,2003,24000000
tt0303714,2002,12000000
tt0303816,2002,1500000
tt0303933,2002,20000000
tt0304141,2004,130000000
tt0304415,2003,65000000
tt0304669,2002,65000000
tt0305224,2003,75000000
tt0305357,2003,120000000
tt0305396,2002,12000000
tt0305632,2004,5000000
tt0305669,2003,33000000
tt0305711,2003,18000000
tt0306047,2003,48000000
tt0306685,2003,25000000
tt0306841,2003,17000000
tt0307109,2001,40000
tt0307453,2004,75000000
tt0307479,2002,47000000
tt0307901,2002,5000000
tt0307987,2003,23000000
tt0308208,2002,70000000
tt0308383,2003,30000000
tt0308506,2002,30000000
tt0308644,2004,25000000
tt0309377,2002,50000000
tt0309521,2002,425000
tt0309698,2003,28000000
tt0309820,2003,30000000
tt0309987,2003,15000000
tt0310357,2003,20000000
tt0310793,2002,4000000
tt0310910,2003,15000000
tt0311113,2003,150000000
tt0311289,2003,20000000
tt0311429,2003,78000000
tt0311648,2003,300000
tt0312004,2005,30000000
tt0312528,2003,109000000
tt0312549,2003,17000000
tt0313443,2003,50000000
tt0313542,2003,60000000
tt0313737,2002,60000000
tt0313792,2003,18000000
tt0313911,2003,28000000
tt0314166,2002,3000000
tt0314331,2003,40000000
tt0314353,2003,75000000
tt0315297,2004,50000000
tt0315327,2003,81000000
tt0315733,2003,20000000
tt0315983,2003,16500000
tt0316356,2003,22000000
tt0316396,2003,100000000
tt0316465,2003,35000000
tt0316654,2004,200000000
tt0316732,2004,25000000
tt0317132,2005,14000000
tt0317198,2004,40000000
tt0317219,2006,120000000
tt0317303,2003,60000000
tt0317640,2003,2000000
tt0317648,2004,100000000
tt0317676,2003,12000000
tt0317705,2004,92000000
tt0317740,2003,60000000
tt0317919,2006,150000000
tt0318081,2005,80000000
tt0318155,2003,80000000
tt0318283,2003,30000000
tt0318627,2004,45000000
tt0318649,2005,130000000
tt0318974,2004,107000000
tt0319061,2003,70000000
tt0319262,2004,125000000
tt0319343,2003,33000000
tt0319524,2003,16000000
tt0320661,2005,130000000
tt0320691,2003,22000000
tt0322259,2003,76000000
tt0322330,2003,20000000
tt0322589,2003,18000000
tt0322802,2002,5000000
tt0323033,2004,32000000
tt0323298,2003,2500000
tt0323939,2003,10000000
tt0324127,2004,27000000
tt0324216,2003,9500000
tt0325234,2003,944149
tt0325258,2003,17000000
tt0325537,2003,35200000
tt0325703,2003,95000000
tt0325710,2003,140000000
tt0325980,2003,140000000
tt0326769,2003,24000000
tt0326856,2004,40000000
tt0326900,2003,18000000
tt0326905,2005,80000000
tt0327036,2002,3000000
tt0327056,2003,25000000
tt0327137,2003,30000000
tt0327162,2004,90000000
tt0327247,2004,40000000
tt0327437,2004,110000000
tt0327554,2004,100000000
tt0327597,2009,60000000
tt0327679,2004,31000000
tt0327850,2003,85000000
tt0328099,2003,15000000
tt0328107,2004,70000000
tt0328538,2003,2000000
tt0328589,2003,18000000
tt0328828,2003,55000000
tt0329028,2003,19000000
tt0329101,2003,30000000
tt0329575,2003,87000000
tt0329691,2004,40000000
tt0329717,2003,75000000
tt0329767,2002,4000000
tt0330373,2005,150000000
tt0330793,2004,33000000
tt0332047,2005,30000000
tt0332280,2004,29000000
tt0332375,2004,5000000
tt0332379,2003,35000000
tt0332452,2004,175000000
tt0332658,2003,5000000
tt0332712,2004,12000000
tt0333766,2004,2500000
tt0333780,2003,45000000
tt0335013,2003,15000000
tt0335121,2004,25000000
tt0335245,2004,35000000
tt0335266,2003,4000000
tt0335345,2004,30000000
tt0335438,2004,60000000
tt0335559,2004,22000000
tt0337563,2004,37000000
tt0337579,2004,30000000
tt0337697,2004,22000000
tt0337711,2003,25000000
tt0337741,2003,80000000
tt0337876,2004,20000000
tt0337909,2003,10000000
tt0337917,2004,12000000
tt0337921,2004,25000000
tt0337978,2007,110000000
tt0338013,2004,20000000
tt0338077,2003,6000000
tt0338094,2003,90000000
tt0338096,2004,25000000
tt0338337,2003,60000000
tt0338348,2004,165000000
tt0338459,2003,38000000
tt0338526,2004,160000000
tt0338751,2004,110000000
tt0339034,2003,12000000
tt0339291,2004,140000000
tt0339419,2003,800000
tt0340376,2003,27000000
tt0340855,2003,8000000
tt0342207,2003,10000000
tt0342258,2005,45000000
tt0342508,2003,2000000
tt0342735,2005,14200000
tt0343135,2004,42000000
tt0343660,2004,75000000
tt0343818,2004,120000000
tt0343996,2005,9600000
tt0344510,2004,56600000
tt0344854,2006,86000000
tt0345074,2004,27000000
tt0345950,2004,30000000
tt0346156,2004,70000000
tt0346491,2004,155000000
tt0348121,2004,22000000
tt0348150,2006,270000000
tt0348333,2005,3000000
tt0348593,2004,7500000
tt0348836,2003,40000000
tt0349159,2003,1500000
tt0349169,2004,10000000
tt0349205,2003,40000000
tt0349683,2004,120000000
tt0349903,2004,110000000
tt0350258,2004,40000000
tt0350261,2005,30000000
tt0351977,2004,46000000
tt0352248,2005,88000000
tt0352277,2004,15000000
tt0353489,2004,3500000
tt0354595,2005,20000000
tt0355295,2005,88000000
tt0355702,2005,25000000
tt0356150,2004,25000000
tt0356443,2004,24000000
tt0356470,2004,19000000
tt0356618,2004,42000000
tt0356634,2004,50000000
tt0356680,2005,18000000
tt0356721,2004,20000000
tt0356910,2005,110000000
tt0357277,2005,43000000
tt0357413,2004,26000000
tt0357507,2005,20000000
tt0358082,2005,75000000
tt0358135,2004,50000000
tt0358273,2005,28000000
tt0358349,2004,26000000
tt0359013,2004,65000000
tt0359423,2004,6500000
tt0359517,2004,12000000
tt0359950,2013,90000000
tt0360139,2004,23000000
tt0360201,2004,31000000
tt0360323,2006,8000000
tt0360486,2005,100000000
tt0360717,2005,207000000
tt0360916,2003,7500000
tt0361089,2005,35000000
tt0361309,2004,3000000
tt0361411,2004,7000000
tt0361500,2008,40000000
tt0361596,2004,6000000
tt0361696,2004,15000000
tt0361715,2005,12000000
tt0361748,2009,70000000
tt0361841,2004,35000000
tt0361925,2004,30000000
tt0362120,2006,45000000
tt0362165,2005,84000000
tt0362227,2004,60000000
tt0362269,2004,11000000
tt0362270,2004,50000000
tt0362478,2009,30000000
tt0363282,2004,30000000
tt0363504,2005,750000
tt0363547,2004,26000000
tt0363771,2005,180000000
tt0363988,2004,40000000
tt0364045,2004,45000000
tt0364725,2004,20000000
tt0364751,2004,19000000
tt0364970,2008,70000000
tt0365485,2005,12500000
tt0365737,2005,50000000
tt0365830,2006,20000000
tt0365885,2005,12000000
tt0365907,2014,28000000
tt0365929,2009,35000000
tt0365957,2004,8000000
tt0366174,2004,20000000
tt0366444,2004,300000
tt0366548,2006,100000000
tt0366551,2004,9000000
tt0366780,2005,4000000
tt0367085,2004,16000000
tt0367089,2005,1500000
tt0367479,2004,60000000
tt0367594,2005,150000000
tt0367652,2005,22000000
tt0367882,2008,185000000
tt0368008,2004,80000000
tt0368089,2004,1500000
tt0368413,2005,350000
tt0368447,2004,60000000
tt0368578,2005,32000000
tt0368709,2005,45000000
tt0368891,2004,100000000
tt0368913,2003,46000
tt0368933,2004,40000000
tt0369226,2005,20000000
tt0369339,2004,65000000
tt0369436,2008,80000000
tt0369441,2005,100000000
tt0369610,2015,150000000
tt0369735,2005,43000000
tt0370032,2006,30000000
tt0370263,2004,60000000
tt0371246,2004,80000000
tt0371606,2005,150000000
tt0371724,2005,50000000
tt0371746,2008,140000000
tt0372183,2004,75000000
tt0372532,2005,15000000
tt0372588,2004,32000000
tt0372784,2005,150000000
tt0372873,2007,32000000
tt0373051,2008,60000000
tt0373074,2004,20000000
tt0373283,2003,780000
tt0373450,2005,25000000
tt0373469,2005,15000000
tt0373889,2007,150000000
tt0373908,2005,25000000
tt0373926,2005,80000000
tt0374102,2003,500000
tt0374536,2005,85000000
tt0374900,2004,400000
tt0375063,2004,16000000
tt0375104,2004,20000000
tt0375173,2004,60000000
tt0375568,2009,65000000
tt0375679,2004,6500000
tt0376108,2005,33100000
tt0376136,2011,45000000
tt0376541,2004,27000000
tt0376994,2006,210000000
tt0377062,2004,45000000
tt0377071,2004,425000
tt0377092,2004,17000000
tt0377107,2005,20000000
tt0377471,2005,53000000
tt0377818,2005,50000000
tt0377992,2003,10000000
tt0378194,2004,30000000
tt0378407,2004,1100
tt0379322,2003,500000
tt0379725,2005,7000000
tt0379786,2005,39000000
tt0379865,2008,58000000
tt0379889,2004,30000000
tt0380510,2009,65000000
tt0380599,2005,60000000
tt0380623,2005,10000000
tt0381061,2006,150000000
tt0381681,2004,2700000
tt0381707,2004,37000000
tt0381849,2007,55000000
tt0381971,2006,50000000
tt0382625,2006,125000000
tt0382932,2007,150000000
tt0382992,2005,135000000
tt0383010,2012,30000000
tt0383028,2008,20000000
tt0383216,2006,80000000
tt0383222,2005,25000000
tt0383574,2006,225000000
tt0384286,2005,1000000
tt0384537,2006,50000000
tt0384642,2005,45000000
tt0384680,2005,22000000
tt0384793,2006,23000000
tt0384806,2005,19000000
tt0385752,2007,180000000
tt0385880,2006,75000000
tt0385887,2019,26000000
tt0386032,2007,9000000
tt0386117,2009,100000000
tt0386140,2005,75000000
tt0386588,2005,70000000
tt0386741,2006,18000000
tt0387057,2003,1500000
tt0387059,2005,14000000
tt0387131,2005,25000000
tt0387514,2005,22000000
tt0387564,2004,1200000
tt0387575,2004,12000000
tt0387877,2006,50000000
tt0388139,2004,2000000
tt0388230,2004,200000
tt0388419,2004,60000000
tt0388482,2005,32000000
tt0388795,2005,14000000
tt0389557,2006,21000000
tt0389722,2007,30000000
tt0389790,2007,150000000
tt0389792,2004,1500000
tt0389860,2006,82500000
tt0390022,2004,30000000
tt0390384,2004,7000
tt0390521,2004,65000
tt0390538,2003,220
tt0391198,2004,10000000
tt0391304,2005,30000000
tt0392465,2005,12000000
tt0393162,2005,30000000
tt0395251,2005,45000000
tt0395495,2006,25000000
tt0395543,2005,1500000
tt0395561,2005,800000
tt0395584,2005,7000000
tt0395699,2005,56000000
tt0395972,2005,35000000
tt0396171,2006,60000000
tt0396269,2005,40000000
tt0396587,2005,250000
tt0396752,2005,25000000
tt0397065,2005,40000000
tt0397101,2005,43000000
tt0397313,2006,40000000
tt0397535,2005,85000000
tt0397551,2006,2000000
tt0397892,2008,150000000
tt0398017,2005,22000000
tt0398165,2005,82000000
tt0398286,2010,260000000
tt0398712,2005,30000000
tt0398830,2004,3000000
tt0399146,2005,32000000
tt0399201,2005,126000000
tt0399295,2005,50000000
tt0399862,2005,10000000
tt0400497,2005,50000000
tt0400717,2006,85000000
tt0401445,2006,35000000
tt0401729,2012,250000000
tt0401792,2005,40000000
tt0401815,2005,3500000
tt0402022,2005,62000000
tt0402230,2005,500000
tt0402399,2005,30000000
tt0402850,2005,14000000
tt0403407,2006,20000000
tt0403508,2005,25000000
tt0403702,2009,18000000
tt0404032,2005,19000000
tt0404203,2006,26000000
tt0404390,2006,15000000
tt0405094,2006,2000000
tt0405159,2004,30000000
tt0405325,2005,35000000
tt0405422,2005,26000000
tt0405469,2006,80000000
tt0405676,2006,55000000
tt0405821,2004,6000000
tt0406158,2005,12000000
tt0406375,2005,65000000
tt0407121,2005,20000000
tt0407304,2005,132000000
tt0407887,2006,90000000
tt0408236,2007,50000000
tt0408306,2005,70000000
tt0408524,2005,35000000
tt0408985,2006,45000000
tt0409182,2006,160000000
tt0409459,2009,130000000
tt0409838,2005,1200000
tt0409847,2011,163000000
tt0410097,2005,2800000
tt0410297,2006,40000000
tt0410377,2008,37000000
tt0410454,2004,7500000
tt0411477,2008,85000000
tt0412080,2005,25000000
tt0413099,2007,175000000
tt0413267,2007,160000000
tt0413300,2007,258000000
tt0413895,2006,85000000
tt0414853,2006,51000000
tt0414982,2006,25000000
tt0414993,2006,35000000
tt0415306,2006,72500000
tt0416044,2007,18000000
tt0416212,2008,11000000
tt0416236,2008,90000000
tt0416320,2005,15000000
tt0416449,2006,65000000
tt0416891,2005,5000000
tt0417001,2005,30000000
tt0417148,2006,33000000
tt0417217,2005,35000000
tt0417741,2009,250000000
tt0418038,2004,200000
tt0418279,2007,150000000
tt0418647,2005,32000000
tt0418689,2006,90000000
tt0418753,2005,2000000
tt0418763,2005,72000000
tt0418819,2005,15000000
tt0419294,2005,15000000
tt0419706,2005,60000000
tt0419749,2006,13000000
tt0420223,2006,30000000
tt0420238,2008,60000000
tt0420291,2004,850000
tt0420294,2006,16000000
tt0420332,2004,7000000
tt0420550,2006,3000000
tt0421073,2008,20000000
tt0421206,2006,30000000
tt0421229,2005,750000
tt0421237,2009,350000
tt0421239,2005,26000000
tt0421715,2008,150000000
tt0421729,2006,40000000
tt0422093,2005,5500000
tt0422249,2003,300000
tt0422720,2006,40000000
tt0422861,2006,5000000
tt0423977,2007,12000000
tt0424095,2006,149000000
tt0424345,2006,5000000
tt0424938,2006,5000000
tt0424993,2006,12000000
tt0425061,2008,80000000
tt0425123,2005,58000000
tt0425253,2006,6000000
tt0425413,2007,10000000
tt0425430,2007,16000000
tt0425598,2005,3000000
tt0427152,2010,69000000
tt0427229,2006,50000000
tt0427392,2007,80000000
tt0427470,2007,16000000
tt0427944,2005,6500000
tt0428038,2005,1000000
tt0429277,2006,2000000
tt0429493,2010,110000000
tt0429573,2005,14000000
tt0429589,2006,50000000
tt0429591,2006,12000000
tt0430105,2005,45000000
tt0430304,2006,64000000
tt0430308,2005,40000000
tt0430357,2006,135000000
tt0430431,2006,20000000
tt0430770,2008,16000000
tt0430922,2008,28000000
tt0431021,2012,14000000
tt0431091,2004,50000
tt0431155,2005,50000
tt0431197,2007,70000000
tt0431308,2007,30000000
tt0432283,2009,40000000
tt0432291,2005,18000000
tt0432348,2005,4000000
tt0432637,2006,10200000
tt0433362,2009,20000000
tt0433383,2005,7000000
tt0433386,2006,20000000
tt0433398,2006,1300000
tt0433416,2006,9500000
tt0434139,2006,20000000
tt0434215,2006,15000000
tt0434409,2005,54000000
tt0434424,2005,9000000
tt0435623,2005,450000
tt0435651,2014,25000000
tt0435761,2010,200000000
tt0436331,2006,6500000
tt0436339,2009,150000000
tt0437086,2019,170000000
tt0437179,2006,8000000
tt0437526,2007,6000000
tt0437800,2006,8000000
tt0437863,2006,33000000
tt0438097,2006,80000000
tt0438427,2005,30000000
tt0438488,2009,200000000
tt0439544,2005,3000000
tt0439815,2006,15000000
tt0440963,2007,110000000
tt0441007,2007,9000000
tt0441773,2008,130000000
tt0442933,2007,150000000
tt0443272,2012,65000000
tt0443274,2008,40000000
tt0443295,2005,45000000
tt0443453,2006,18000000
tt0443536,2005,30000000
tt0443543,2006,16500000
tt0443649,2008,105000000
tt0443680,2007,30000000
tt0443701,2008,30000000
tt0443706,2007,65000000
tt0445620,2005,2000000
tt0445934,2007,61000000
tt0446013,2007,45000000
tt0446029,2010,60000000
tt0448011,2009,50000000
tt0448115,2019,100000000
tt0448157,2008,150000000
tt0448694,2011,130000000
tt0449010,2006,100000000
tt0449059,2006,8000000
tt0449088,2007,300000000
tt0449089,2006,50000000
tt0450188,2007,25000000
tt0450259,2006,100000000
tt0450278,2005,4800000
tt0450314,2008,35000000
tt0450334,2005,65000
tt0450345,2006,40000000
tt0450385,2007,25000000
tt0450405,2009,40000000
tt0451069,2005,4000000
tt0451079,2008,85000000
tt0451279,2017,149000000
tt0452594,2006,52000000
tt0452608,2008,45000000
tt0452623,2007,19000000
tt0452637,2006,70000000
tt0452694,2009,39000000
tt0452702,2007,19000000
tt0453467,2006,75000000
tt0453494,2006,15000000
tt0453556,2007,34000000
tt0453562,2013,40000000
tt0454792,2005,1600000
tt0454824,2006,60000000
tt0454841,2006,15000000
tt0454848,2006,45000000
tt0454876,2012,120000000
tt0454879,2006,6200000
tt0454919,2006,20500000
tt0454921,2006,55000000
tt0454945,2006,20000000
tt0454970,2006,10000000
tt0455326,2007,750000
tt0455407,2010,20000000
tt0455538,2008,28000000
tt0455590,2006,6000000
tt0455612,2006,6000000
tt0455760,2007,20000000
tt0455824,2008,130000000
tt0455857,2006,15000000
tt0455944,2014,55000000
tt0455967,2006,18000000
tt0457303,2006,1000000
tt0457400,2009,100000000
tt0457430,2006,19000000
tt0457452,2005,5000
tt0457510,2006,35000000
tt0457530,2005,6500000
tt0457939,2006,85000000
tt0458339,2011,140000000
tt0458352,2006,35000000
tt0458525,2009,150000000
tt0460611,2006,6500000
tt0460975,2006,400000
tt0461770,2007,85000000
tt0462200,2006,15000000
tt0462229,2007,20000000
tt0462322,2007,67000000
tt0462338,2006,25000000
tt0462465,2008,50000000
tt0462499,2008,50000000
tt0462519,2006,35000000
tt0462538,2007,75000000
tt0462590,2006,12000000
tt0463034,2006,54000000
tt0463998,2007,21000000
tt0464154,2010,24000000
tt0465142,2006,17000000
tt0465502,2008,25000000
tt0465580,2009,38000000
tt0465602,2007,39000000
tt0466342,2006,20000000
tt0466856,2006,20000000
tt0466893,2011,14000000
tt0466909,2006,25000000
tt0467197,2008,35000000
tt0467200,2008,35000000
tt0467406,2007,7500000
tt0468569,2008,185000000
tt0469263,2006,13000000
tt0469494,2007,25000000
tt0469641,2006,65000000
tt0469903,2008,40000000
tt0470752,2014,15000000
tt0471042,2011,75000000
tt0472033,2009,30000000
tt0472043,2006,40000000
tt0472062,2007,75000000
tt0472126,2006,3000000
tt0472156,2006,5000000
tt0472181,2011,110000000
tt0472198,2009,20000000
tt0472399,2011,40000000
tt0473024,2006,5800000
tt0473075,2010,200000000
tt0473700,2007,11000000
tt0475276,2006,15000000
tt0475290,2016,22000000
tt0475298,2006,5000000
tt0475394,2006,17000000
tt0477051,2007,60000000
tt0477071,2007,20000000
tt0477078,2007,6000000
tt0477080,2010,100000000
tt0478087,2008,35000000
tt0478262,2006,300000
tt0478304,2011,32000000
tt0478311,2007,30000000
tt0478829,2006,2500000
tt0478970,2015,130000000
tt0479143,2006,24000000
tt0479884,2006,12000000
tt0479952,2008,150000000
tt0479968,2008,20000000
tt0479997,2011,40000000
tt0480239,2011,20000000
tt0480249,2007,150000000
tt0480255,2010,25000000
tt0480687,2011,36000000
tt0481369,2007,30000000
tt0481499,2013,135000000
tt0481536,2008,12000000
tt0482463,2006,3300000
tt0482571,2006,40000000
tt0482572,2008,30000000
tt0482603,2008,37000000
tt0482606,2008,9000000
tt0485601,2009,8000000
tt0485985,2012,58000000
tt0486028,2006,2400000
tt0486321,2008,25000000
tt0486576,2007,130000000
tt0486655,2007,70000000
tt0486822,2007,20000000
tt0488658,2006,25000000
tt0489099,2008,85000000
tt0489270,2006,10000000
tt0489281,2008,25000000
tt0490196,2006,3000000
tt0490204,2007,20000000
tt0491152,2011,35000000
tt0492389,2010,35000000
tt0493405,2017,25000000
tt0493430,2006,11500000
tt0493464,2008,75000000
tt0493949,2010,15000000
tt0494238,2008,60000000
tt0494652,2008,35000000
tt0498353,2007,10200000
tt0498380,2006,19000000
tt0498381,2017,25000000
tt0498399,2007,21000000
tt0499448,2008,225000000
tt0499549,2009,237000000
tt0499554,2007,10000000
tt0758746,2009,19000000
tt0758752,2010,30000000
tt0758774,2008,70000000
tt0762107,2007,85000000
tt0762121,2006,35000000
tt0762125,2009,70000000
tt0763831,2012,40000000
tt0765010,2009,26000000
tt0765128,2009,80000000
tt0765429,2007,100000000
tt0765446,2013,40000000
tt0765476,2008,60000000
tt0770703,2011,20000000
tt0770752,2008,70000000
tt0770772,2007,11000000
tt0770828,2013,225000000
tt0775489,2010,17000000
tt0775539,2007,13000000
tt0775552,2009,45000000
tt0780504,2011,15000000
tt0780511,2009,21000000
tt0780521,2009,105000000
tt0780567,2009,55000000
tt0780571,2007,20000000
tt0780595,2007,26000000
tt0780653,2010,150000000
tt0783532,2008,2000000
tt0784972,2007,10000000
tt0785025,2006,3000000
tt0787474,2014,60000000
tt0790628,2013,30000000
tt0790636,2013,5000000
tt0790657,2007,3000000
tt0790712,2009,6500000
tt0790724,2012,60000000
tt0790736,2013,130000000
tt0795351,2009,26000000
tt0795368,2007,9000000
tt0795421,2008,52000000
tt0795438,2009,5000000
tt0795461,2013,20000000
tt0796366,2009,150000000
tt0800039,2008,30000000
tt0800069,2007,15000000
tt0800080,2008,150000000
tt0800308,2008,20000000
tt0800320,2010,125000000
tt0800369,2011,150000000
tt0803096,2016,160000000
tt0804497,2010,8000000
tt0804505,2007,12000000
tt0805526,2006,100000
tt0805564,2007,12000000
tt0808151,2009,150000000
tt0808357,2007,15000000
tt0808510,2010,48000000
tt0808526,2009,4500000
tt0810784,2009,8500000
tt0810913,2011,79000000
tt0810928,2007,2200000
tt0811080,2008,120000000
tt0811138,2008,62000000
tt0814022,2008,45000000
tt0814255,2010,95000000
tt0814314,2008,55000000
tt0814335,2009,20000000
tt0815178,2007,13000000
tt0815236,2010,20000000
tt0815241,2008,2500000
tt0816462,2011,90000000
tt0816692,2014,165000000
tt0816711,2013,190000000
tt0817177,2010,14000000
tt0817230,2010,52000000
tt0822847,2011,60000000
tt0822854,2007,61000000
tt0824747,2008,55000000
tt0824758,2009,18000000
tt0825232,2007,45000000
tt0829150,2014,70000000
tt0829459,2007,16000000
tt0829482,2007,20000000
tt0830515,2008,200000000
tt0831387,2014,160000000
tt0834001,2009,35000000
tt0837562,2012,85000000
tt0837563,2019,21000000
tt0838221,2007,16000000
tt0838232,2009,70000000
tt0838283,2008,65000000
tt0840361,2010,37000000
tt0841046,2007,35000000
tt0842926,2010,4000000
tt0844471,2009,100000000
tt0844671,2008,7000000
tt0846308,2008,10000000
tt0848228,2012,220000000
tt0848537,2013,100000000
tt0852713,2008,25000000
tt0853096,2006,2000000
tt0859163,2008,145000000
tt0859635,2018,13500000
tt0861689,2008,25000000
tt0864835,2014,145000000
tt0866439,2008,40000000
tt0870111,2008,25000000
tt0871426,2008,30000000
tt0872230,2010,25000000
tt0875034,2009,80000000
tt0878804,2009,29000000
tt0878835,2010,3000000
tt0879870,2010,60000000
tt0880578,2008,35000000
tt0881320,2011,30000000
tt0884328,2007,18000000
tt0884726,2014,70000000
tt0884732,2015,23000000
tt0887883,2008,37000000
tt0887912,2008,15000000
tt0889573,2010,19000000
tt0891527,2007,35000000
tt0892318,2010,30000000
tt0892769,2010,165000000
tt0892782,2009,175000000
tt0892791,2010,165000000
tt0896923,2009,8300000
tt0898367,2009,25000000
tt0899106,2009,18000000
tt0901476,2009,30000000
tt0901487,2008,10000000
tt0905372,2011,38000000
tt0907657,2007,150000
tt0910936,2008,27000000
tt0910970,2008,180000000
tt0913354,2009,20000000
tt0918927,2008,20000000
tt0918940,2016,180000000
tt0926129,2008,20000000
tt0929632,2009,10000000
tt0935075,2010,5000000
tt0936501,2008,25000000
tt0937375,2007,13000000
tt0938283,2010,150000000
tt0938330,2012,20000000
tt0942385,2008,92000000
tt0944835,2010,110000000
tt0945513,2011,32000000
tt0947798,2010,13000000
tt0947802,2008,20000000
tt0947810,2010,100000000
tt0948470,2012,230000000
tt0949731,2008,48000000
tt0952640,2007,60000000
tt0954947,2010,13000000
tt0954990,2008,15500000
tt0955308,2010,200000000
tt0959337,2008,35000000
tt0960144,2008,90000000
tt0960731,2008,80000000
tt0961108,2008,8000000
tt0962726,2008,11000000
tt0962736,2009,35000000
tt0963178,2009,50000000
tt0963966,2010,150000000
tt0964517,2010,25000000
tt0968264,2010,25000000
tt0970411,2008,55000000
tt0970416,2008,80000000
tt0970866,2010,100000000
tt0971209,2009,14000000
tt0976051,2008,32000000
tt0976238,2009,35000000
tt0976247,2008,6000000
tt0977855,2010,22000000
tt0978764,2011,82000000
tt0979434,2010,17000000
tt0980970,2010,155000000
tt0981227,2008,10000000
tt0983946,2020,7000000
tt0985694,2010,10500000
tt0985699,2008,75000000
tt0986263,2009,80000000
tt0988045,2009,90000000
tt0988047,2008,22000000
tt0988595,2008,30000000
tt0989757,2010,25000000
tt0990407,2011,120000000
tt0993842,2011,30000000
tt0993846,2013,100000000
tt0995039,2008,20000000
tt0999913,2011,25000000
tt1000774,2008,65000000
tt1001526,2010,130000000
tt10039344,2019,6500000
tt1007028,2008,24000000
tt1010048,2008,15000000
tt1012804,2008,7000000
tt1013743,2010,117000000
tt1013752,2009,85000000
tt1013753,2008,20000000
tt1014759,2010,200000000
tt1016075,2009,18000000
tt1017451,2010,10000000
tt1017460,2009,30000000
tt1018765,2015,28000000
tt1018785,2008,27000000
tt1019449,2007,10000
tt1020072,2014,20000000
tt1020558,2010,12000000
tt1022603,2009,7500000
tt1023111,2008,20000000
tt1023114,2010,30000000
tt1024648,2012,44500000
tt1025100,2019,138000000
tt1027718,2010,70000000
tt1027862,2008,21000000
tt1028576,2010,35000000
tt1029360,2015,35000000
tt1031969,2008,15000000
tt1032751,2010,42000000
tt1032815,2009,18000000
tt1033643,2008,35000000
tt1034303,2008,32000000
tt1034324,2009,7000000
tt1034331,2008,60000000
tt1034389,2011,25000000
tt1035736,2009,23000000
tt1037705,2010,80000000
tt1038686,2010,26000000
tt1038919,2010,40000000
tt1041804,2010,90000000
tt1041829,2009,40000000
tt1042877,2008,12000000
tt1043726,2014,70000000
tt1045658,2012,21000000
tt1045772,2009,13000000
tt1045778,2009,60000000
tt1046163,2008,20000000
tt1046173,2009,175000000
tt1046997,2008,45000000
tt1047540,2012,25000000
tt10481868,2019,5000000
tt1049413,2009,175000000
tt1051904,2015,58000000
tt1051906,2020,7000000
tt1053424,2010,32000000
tt1053810,2011,41000000
tt1054606,2009,30000000
tt1055292,2010,38000000
tt1055369,2009,200000000
tt1057500,2009,60000000
tt1058017,2009,18500000
tt1059786,2008,80000000
tt1060277,2008,25000000
tt1065073,2014,4000000
tt1067106,2009,200000000
tt1067583,2011,38000000
tt1067774,2011,20000000
tt1068242,2011,24000000
tt1068680,2008,70000000
tt1071875,2011,57000000
tt1074638,2012,200000000
tt1075419,2009,15000000
tt1075636,2007,20000
tt1075747,2010,47000000
tt1077262,2009,1000000
tt1077368,2012,150000000
tt1078588,2009,30000000
tt1078912,2009,150000000
tt1078940,2009,70000000
tt1080016,2009,90000000
tt1082807,2016,5000000
tt1082868,2008,12000000
tt1083452,2015,23000000
tt1083456,2009,20000000
tt1086772,2014,40000000
tt1091191,2013,40000000
tt1092026,2011,40000000
tt1092633,2009,10000000
tt1093357,2011,30000000
tt1095217,2009,25000000
tt1099212,2008,37000000
tt1103153,2010,75000000
tt1104001,2010,170000000
tt1104733,2008,9000000
tt1109624,2014,55000000
tt1111422,2009,100000000
tt1114740,2009,26000000
tt1116184,2010,20000000
tt1119646,2009,35000000
tt1120985,2010,1000000
tt1121096,2014,95000000
tt1121977,2009,7000000
tt1121986,2012,4500000
tt1124037,2016,50000000
tt1124052,2009,12000000
tt1125849,2008,6000000
tt1125929,2010,25000000
tt1126591,2010,55000000
tt1126618,2010,40000000
tt1127180,2009,30000000
tt1127896,2009,30000000
tt1129423,2008,500000
tt1129445,2009,40000000
tt1130080,2009,22000000
tt1130884,2010,80000000
tt1131729,2009,50000000
tt1131734,2009,16000000
tt1132620,2009,13000000
tt1132626,2008,10800000
tt1133985,2011,200000000
tt1134854,2009,4000000
tt1135084,2010,32000000
tt1135487,2009,60000000
tt1135503,2009,40000000
tt1135985,2008,19000000
tt1136608,2009,30000000
tt1137450,2018,30000000
tt1139328,2010,45000000
tt1139668,2009,16000000
tt1142977,2012,39000000
tt1142988,2009,38000000
tt1144884,2009,40000000
tt1148200,2009,3000000
tt1149361,2009,42000000
tt1149362,2009,18000000
tt1151359,2009,9000000
tt1152398,2011,17000000
tt1152822,2010,2900000
tt1152836,2009,100000000
tt1153706,2009,25000000
tt1155076,2010,40000000
tt1156173,2009,13000000
tt1156398,2009,23600000
