tconst,year,budget
tt0117666,1996,1000000
tt0117723,1996,18000000
tt0117791,1996,16000000
tt0117802,1996,200000
tt0117998,1996,92000000
tt0118073,1996,12000000
tt0118111,1996,4000000
tt0118163,1996,1300000
tt0118564,1997,6000000
tt0118571,1997,85000000
tt0118583,1997,75000000
tt0118589,2001,22000000
tt0118604,1997,25000000
tt0118607,1997,36000000
tt0118655,1997,16500000
tt0118661,1998,60000000
tt0118662,1997,1000000
tt0118665,1999,12000000
tt0118688,1997,125000000
tt0118689,1997,18000000
tt0118691,1997,16000000
tt0118749,1997,15000000
tt0118771,1997,36000000
tt0118880,1997,75000000
tt0118884,1997,90000000
tt0118887,1997,15000000
tt0118901,1997,12000000
tt0118928,1997,116000000
tt0118954,1997,20000000
tt0118972,1997,90000000
tt0119019,1997,1000000
tt0119062,1997,5000000
tt0119079,1999,14000000
tt0119094,1997,80000000
tt0119142,1997,35000000
tt0119164,1997,3500000
tt0119190,1997,55000000
tt0119219,1998,20000000
tt0119282,1997,85000000
tt0119303,1997,32000000
tt0119304,1998,35000000
tt0119324,1997,1500000
tt0119336,1998,15000000
tt0119338,1997,500000
tt0119346,1997,250000
tt0119360,1997,35000000
tt0119395,1997,60000000
tt0119396,1997,12000000
tt0119468,1997,27000000
tt0119485,1997,28000000
tt0119502,1997,4000000
tt0119506,1997,8000000
tt0119509,1997,15000000
tt0119558,1997,62000000
tt0119560,1998,5000000
tt0119567,1997,73000000
tt0119592,1997,50000000
tt0119594,1998,37000000
tt0119643,1998,90000000
tt0119654,1997,90000000
tt0119668,1997,35000000
tt0119675,1997,30000000
tt0119715,1997,38000000
tt0119718,1997,30000000
tt0119738,1997,38000000
tt0119792,1997,9000000
tt0119802,1998,11000000
tt0119807,1997,25000000
tt0119822,1997,50000000
tt0119874,1997,50000000
tt0119925,1997,80000000
tt0119934,1998,25000000
tt0119937,1997,8000000
tt0119942,1998,65000000
tt0119951,1997,28000000
tt0120070,1998,10000000
tt0120082,1997,24000000
tt0120148,1998,6000000
tt0120157,1998,60000000
tt0120169,1997,7500000
tt0120177,1997,40000000
tt0120179,1997,160000000
tt0120184,1998,80000000
tt0120188,1999,75000000
tt0120201,1997,105000000
tt0120207,1997,16000000
tt0120241,1997,5000000
tt0120303,1997,4000000
tt0120324,1998,30000000
tt0120338,1997,200000000
tt0120363,1999,90000000
tt0120390,1997,55000000
tt0120394,1997,3300000
tt0120458,1999,75000000
tt0120461,1997,90000000
tt0120483,1997,20000000
tt0120484,1998,23000000
tt0120490,1997,9000000
tt0120510,1998,6000000
tt0120586,1998,20000000
tt0120587,1998,105000000
tt0120591,1998,140000000
tt0120595,1998,90000000
tt0120596,1999,51000000
tt0120601,1999,13000000
tt0120603,1998,80000000
tt0120616,1999,80000000
tt0120618,1999,12000000
tt0120620,1999,25000000
tt0120623,1998,120000000
tt0120630,2000,45000000
tt0120631,1998,26000000
tt0120633,1998,75000000
tt0120646,1999,38000000
tt0120655,1999,10000000
tt0120657,1999,160000000
tt0120660,1998,90000000
tt0120662,1999,35000000
tt0120663,1999,65000000
tt0120667,2005,100000000
tt0120669,1998,18500000
tt0120670,1998,19000000
tt0120679,2002,12000000
tt0120681,2001,35000000
tt0120683,1999,30000000
tt0120684,1998,10000000
tt0120685,1998,130000000
tt0120686,1998,50000000
tt0120689,1999,60000000
tt0120694,1998,17000000
tt0120696,1998,70000000
tt0120701,1998,60000000
tt0120703,1998,20000000
tt0120710,1999,30000000
tt0120716,1999,45000000
tt0120722,1998,20000000
tt0120737,2001,93000000
tt0120738,1998,80000000
tt0120741,1998,10000000
tt0120746,1998,95000000
tt0120751,1998,90000000
tt0120755,2000,125000000
tt0120757,1999,50000000
tt0120764,1999,65000000
tt0120784,1999,90000000
tt0120789,1998,60000000
tt0120791,1998,75000000
tt0120794,1998,70000000
tt0120797,1999,33000000
tt0120802,1998,18000000
tt0120804,2002,33000000
tt0120812,1998,33000000
tt0120813,1998,1000000
tt0120815,1998,70000000
tt0120824,2001,38000000
tt0120832,1998,73000000
tt0120834,1999,35000000
tt0120836,1999,30000000
tt0120844,1998,58000000
tt0120855,1999,130000000
tt0120857,1999,12000000
tt0120863,1998,52000000
tt0120877,1998,20000000
tt0120878,1998,4000000
tt0120888,1998,18000000
tt0120889,1998,85000000
tt0120891,1999,170000000
tt0120903,2000,75000000
tt0120907,1999,15000000
tt0120910,1999,80000000
tt0120912,2002,140000000
tt0120913,2000,75000000
tt0120915,1999,115000000
tt0120917,2000,100000000
tt0121765,2002,115000000
tt0121766,2005,113000000
tt0122151,1998,140000000
tt0122459,2000,24000000
tt0122933,1999,80000000
tt0123209,1999,35000000
tt0123221,1998,12000000
tt0123964,1999,80000000
tt0124198,1998,30000000
tt0124298,1999,35000000
tt0124315,1999,24000000
